Title, Year, Logline

Paranormal Activity, 2009, 'After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.'

Mad Max, 1979, 'A vengeful Australian policeman sets out to avenge his partner, his wife and his son whom were murdered by a motorcycle gang in retaliation for the death of their leader.'

The Blair Witch Project, 1999, 'Three film students go missing after traveling into the woods of Maryland to make a documentary about the local Blair Witch legend leaving only their footage behind.'

El Mariachi, 1993, A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.'

Night of the Living Dead, 1968, 'A group of people hide from bloodthirsty zombies in a farmhouse.'

Rocky, 1976, 'A small time boxer gets a once in a lifetime chance to fight the heavyweight champ in a bout in which he strives to go the distance for his self-respect.'

Halloween, 1978, 'A psychotic murderer institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.'

American Graffiti, 1973, 'A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.'

Clerks, 1994, 'A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.'

Once, 2007, 'A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.'

Napoleon Dynamite, 2004, 'A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.'

Open Water, 2004, 'Based on the true story of two scuba divers accidentally stranded in shark infested waters after their tour boat has left.'

Friday the 13th, 1980, 'Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child’s drowning.'

Saw, 2004, 'With a dead body laying between them, two men wake up in the secure lair of a serial killer who’s been nicknamed “Jigsaw”. The men must follow various rules and objectives if they wish to survive and win the deadly game set for them.'

Primer, 2004, 'Four friends/fledgling entrepreneurs, knowing that there’s something bigger and more innovative than the different error-checking devices they’ve built, wrestle over their new invention.'

The Evil Dead, 1983, 'Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.'

ET: The Extra-Terrestrial, 1982, 'A meek and alienated little boy finds a stranded extraterrestrial. He has to find the courage to defy the authorities to help the alien return to its home planet.'

The Full Monty, 1997, 'Six unemployed steel workers form a male striptease act. The women cheer them on to go for “the full monty” – total nudity.'

Star Wars, 1977, 'Luke Skywalker, a spirited farm boy, joins rebel forces to save Princess Leia from the evil Darth Vader, and the galaxy from the Empire’s planet-destroying Death Star.'

My Big Fat Greek Wedding, 2002, 'A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.'
